,"Average Days in Stock","Current","1 - 60","61 - 120","121 - 180","> 180","TOTAL"
"Inventory","","","","","","",
"20-0129-0256 (LCD for 20-3011-1263)",284.00,0.00,0.00,0.00,0.00,2875.00,2875.00
"20-0129-0313 (LCD for 20-3006-1223, 35.9’’ ultrawide R Series screen)",367.00,0.00,0.00,0.00,0.00,210.00,210.00
"20-0130-1267 (610mm 2pin m/f speaker extender wires)",681.00,0.00,0.00,0.00,18.76,43.58,62.34
"20-0130-1284 (Cable Mountable USB extension cable, 1.5m/4.9 feet USB 3.0)",928.00,0.00,0.00,0.00,0.00,109.02,109.02
"20-0130-1287 (Extension wire for 20-3000-1060, 3pin, M/F, 610mm)",935.00,0.00,0.00,0.00,0.00,31.20,31.20
"20-0130-1335 (MiniUSB to USB)",1480.00,0.00,0.00,0.00,0.00,4.32,4.32
"20-0130-1354 (Cable Mountable USB-A (M<>F) extension cable, 1.5m/4.9 feet USB 2.0)",141.00,0.00,0.00,4.90,9.80,0.00,14.70
"20-0130-1366 (Cable 36"" GPIO Button extension cable, 4 pin connector)",2013.00,0.00,0.00,0.00,0.00,60.48,60.48
"20-0130-1376 (Molex power cord extender - large connector)",176.00,0.00,0.00,0.00,15.40,0.00,15.40
"20-0130-1387 (mini (HS123) Molex Y splitter into mini molex and barrel connectors)",1505.00,0.00,0.00,0.00,0.00,294.80,294.80
"20-0130-1389 (Mountable HDMI extender)",2199.00,0.00,0.00,0.00,0.00,18.00,18.00
"20-0130-1407 (Mini Molex power cord extender, 99 inches)",911.00,0.00,0.00,0.00,0.00,9.04,9.04
"20-0130-1440 (Cable Adapter cable, Mini Molex (HS123) to micro Molex (BrightSign ...",1011.00,0.00,0.00,0.00,0.00,67.90,67.90
"20-0130-1459 (Molex power cord extender - micro connector Male x Female, 1.6m)",264.00,0.00,0.00,0.00,0.00,170.00,170.00
"20-0130-1483 (Cable 3.5mm Audio Cable, Male/Male, 24"" Wire)",394.00,0.00,0.00,0.00,0.00,79.92,79.92
"20-0130-1498 (Cable 5 meter extension cable for micro Molex power adapter, female...",101.00,0.00,0.00,38.00,0.00,0.00,38.00
"20-0130-1509 (micro (BrightSign Built-In) Molex Y splitter into micro molex and b...",143.00,0.00,0.00,0.00,7.70,0.00,7.70
"20-0130-1593 (Molex power cord extender - micro connector Male x Female, 99 inches)",143.00,0.00,0.00,0.00,32.76,0.00,32.76
